"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"","low","0.0","0.0","0.0","43.7","639.8","5.0","1.0","153.2"
"Tyjae Spears","TENhigh","RB32","141.7","621.0","3.6","43.3","335.9","1.6","0.9","168.1"
"","high","176.6","717.1","4.6","55.0","436.0","2.0","0.6","214.9"
"","low","124.1","544.1","3.0","28.8","220.8","1.0","1.0","139.3"
"Joshua Palmer","LAChigh","WR51","0.3","2.8","0.0","62.1","786.9","4.7","0.9","167.7"
"","high","1.0","7.0","0.0","69.3","874.0","6.0","0.6","229.6"
"","low","0.0","0.0","0.0","58.0","727.2","4.0","1.0","160.5"
"Jakobi Meyers","LVhigh","WR52","2.4","15.6","0.3","64.7","728.2","4.6","0.5","167.5"
"","high","4.2","25.5","1.0","72.8","777.2","7.0","0.0","217.1"
"","low","0.0","0.0","0.0","60.0","678.0","3.4","1.0","162.9"
"Curtis Samuel","BUFhigh","WR53","11.3","66.7","1.0","61.0","663.0","4.6","0.5","166.5"
"","high","17.0","89.0","2.0","65.0","724.0","5.0","0.0","235.2"
"","low","4.5","25.3","0.2","56.0","602.0","4.0","1.0","159.0"
"Zack Moss","CINhigh","RB33","170.3","737.9","5.8","29.5","205.0","1.4","0.5","166.4"
"","high","191.8","806.9","6.0","37.0","254.0","3.0","0.0","202.4"
"","low","149.4","646.8","5.6","22.4","149.4","1.0","1.0","154.5"
"Adam Thielen","CARhigh","WR54","0.3","3.0","0.0","69.0","695.5","4.5","0.6","164.5"
"","high","1.0","7.0","0.0","74.0","706.9","5.0","0.0","227.7"
"","low","0.0","0.0","0.0","66.9","680.0","4.0","1.0","160.0"
"Chase Brown","CINhigh","RB34","142.7","618.5","4.0","37.3","304.5","1.9","0.6","163.9"
"","high","180.9","735.5","4.7","41.4","400.0","3.0","0.0","193.8"
"","low","122.0","526.0","3.0","34.0","264.0","1.0","1.0","152.3"
"Khalil Shakir","BUFhigh","WR55","0.3","3.2","0.0","59.2","776.0","4.5","0.2","163.6"
"","high","1.0","8.0","0.0","61.0","867.0","5.0","0.0","223.3"
"","low","0.0","0.0","0.0","56.8","720.4","3.6","0.7","153.0"
